,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime,week,month,year,month and week,quarter,max loss,max gain
104,10.12,10.44,9.2,67179,9.21,18283375,10.114292,2018-01-01 05:00:00+00:00,1514811600.0,1,1,2018,1-1,1,-5.830039525691698,18.873517786561266
105,10.91,11.11,9.85,87409,10.1,20716456,10.541845,2018-01-08 05:00:00+00:00,1515416400.0,2,1,2018,1-2,1,-8.799266727772677,9.624197983501382
106,10.24,10.9,10.15,52529,10.76,10987266,10.519064,2018-01-15 05:00:00+00:00,1516021200.0,3,1,2018,1-3,1,-6.83593750000001,7.128906250000004
107,10.4,10.88,10.2,72113,10.26,16951593,10.524562,2018-01-22 05:00:00+00:00,1516626000.0,4,1,2018,1-4,1,-19.32692307692309,1.1538461538461635
108,8.91,10.32,8.87,72321,10.3,16696172,9.537834,2018-01-29 05:00:00+00:00,1517230800.0,5,1,2018,1-5,1,-35.57800224466891,1.4029180695847363
109,7.45,8.995,7.15,132929,8.74,32885620,8.086691,2018-02-05 05:00:00+00:00,1517835600.0,1,2,2018,2-1,1,-22.751677852348983,14.765100671140935
110,7.52,8.25,7.3,137415,7.6193,34461382,7.618149,2018-02-12 05:00:00+00:00,1518440400.0,2,2,2018,2-2,1,-12.367021276595741,4.388297872340427
111,7.6,7.63,7.32,66312,7.55,16813432,7.458247,2018-02-19 05:00:00+00:00,1519045200.0,3,2,2018,2-3,1,-7.105263157894738,6.315789473684205
112,7.54,7.8,7.09,80675,7.62,21373047,7.467417,2018-02-26 05:00:00+00:00,1519650000.0,4,2,2018,2-4,1,-5.7029177718832855,14.751989389920418
113,8.17,8.2023,7.37,97259,7.41,23167951,7.964502,2018-03-05 05:00:00+00:00,1520254800.0,1,3,2018,3-1,1,-2.4761321909424634,15.055079559363518
114,8.44,8.6,8.0,57755,8.14,14588536,8.212428,2018-03-12 04:00:00+00:00,1520856000.0,2,3,2018,3-2,1,-6.1611374407582895,11.789099526066343
115,8.14,8.995,8.08,84520,8.43,22351098,8.49223,2018-03-19 04:00:00+00:00,1521460800.0,3,3,2018,3-3,1,-12.223587223587213,5.65110565110564
116,8.54,8.54,8.0,59980,8.2,14868585,8.241442,2018-03-26 04:00:00+00:00,1522065600.0,4,3,2018,3-4,1,-4.332552693208423,20.49180327868853
117,9.36,9.75,8.17,124591,8.44,32128115,9.058416,2018-04-02 04:00:00+00:00,1522670400.0,1,4,2018,4-1,2,-6.089743589743593,23.13034188034189
118,10.1,10.335,9.18,105971,9.48,26480797,9.892106,2018-04-09 04:00:00+00:00,1523275200.0,2,4,2018,4-2,2,-7.673267326732677,13.465346534653461
119,9.63,10.54,9.56,106586,10.1,26257383,10.014934,2018-04-16 04:00:00+00:00,1523880000.0,3,4,2018,4-3,2,-17.030114226375893,6.022845275181724
120,10.02,10.14,8.9,117811,9.43,26753049,9.748859,2018-04-23 04:00:00+00:00,1524484800.0,4,4,2018,4-4,2,-2.6946107784431272,14.47105788423153
121,10.13,10.35,9.87,71589,9.96,16913392,10.131093,2018-04-30 04:00:00+00:00,1525089600.0,5,4,2018,4-5,2,-3.2576505429417577,13.770977295162895
122,10.94,11.265,10.02,123826,10.24,30748303,10.806973,2018-05-07 04:00:00+00:00,1525694400.0,1,5,2018,5-1,2,-4.9817184643510055,12.248628884826324
123,11.02,11.36,10.72,82261,11.03,18870029,11.032298,2018-05-14 04:00:00+00:00,1526299200.0,2,5,2018,5-2,2,-11.252268602540836,6.760435571687834
124,10.35,11.465,10.12,84168,11.0879,19642934,10.913712,2018-05-21 04:00:00+00:00,1526904000.0,3,5,2018,5-3,2,-13.478260869565215,5.6521739130434865
125,10.4,10.705,10.07,71055,10.11,16949306,10.48967,2018-05-28 04:00:00+00:00,1527508800.0,4,5,2018,5-4,2,-11.874999999999995,4.230769230769226
126,10.04,10.51,9.47,112922,10.44,25864953,9.928263,2018-06-04 04:00:00+00:00,1528113600.0,1,6,2018,6-1,2,-13.047808764940244,5.6772908366533725
127,9.22,10.04,9.2,55262,9.99,12159267,9.685998,2018-06-11 04:00:00+00:00,1528718400.0,2,6,2018,6-2,2,-10.08676789587852,8.080260303687647
128,9.91,9.945,9.11,78154,9.19,16690025,9.515526,2018-06-18 04:00:00+00:00,1529323200.0,3,6,2018,6-3,2,-2.724520686175576,13.723511604439972
129,10.38,10.47,9.675,85488,9.92,19280660,10.091804,2018-06-25 04:00:00+00:00,1529928000.0,4,6,2018,6-4,2,-3.5645472061657126,11.512524084778404
130,10.82,10.87,10.1,44809,10.3,8369176,10.524124,2018-07-02 04:00:00+00:00,1530532800.0,1,7,2018,7-1,3,-3.142329020332716,10.998151571164506
131,10.57,11.29,10.53,62391,10.89,13571177,10.835256,2018-07-09 04:00:00+00:00,1531137600.0,2,7,2018,7-2,3,-11.069063386944181,-0.09460737937558927
132,10.15,10.52,10.12,61732,10.39,13443489,10.323578,2018-07-16 04:00:00+00:00,1531742400.0,3,7,2018,7-3,3,-6.600985221674876,4.926108374384236
133,9.93,10.62,9.85,67060,10.23,14837548,10.19798,2018-07-23 04:00:00+00:00,1532347200.0,4,7,2018,7-4,3,-7.754279959718022,3.2980866062437117
134,10.14,10.1775,9.85,59114,10.13,15076328,10.017917,2018-07-30 04:00:00+00:00,1532952000.0,5,7,2018,7-5,3,-4.906311637080873,5.4240631163708155
135,9.93,10.4,9.68,46511,10.19,9867314,9.918053,2018-08-06 04:00:00+00:00,1533556800.0,1,8,2018,8-1,3,-16.414904330312194,3.323262839879155
136,9.15,10.01,8.77,91628,9.89,25088691,9.199776,2018-08-13 04:00:00+00:00,1534161600.0,2,8,2018,8-2,3,-9.945355191256832,10.710382513661207
137,9.68,9.75,9.1,50359,9.18,13084843,9.389892,2018-08-20 04:00:00+00:00,1534766400.0,3,8,2018,8-3,3,-5.991735537190084,8.987603305785134
138,9.31,9.97,9.17,71564,9.74,17011001,9.54693,2018-08-27 04:00:00+00:00,1535371200.0,4,8,2018,8-4,3,-18.47475832438239,0.9667024704618674
139,8.88,9.26,8.25,57986,9.24,14697253,8.842933,2018-09-03 04:00:00+00:00,1535976000.0,1,9,2018,9-1,3,-5.1801801801801695,14.301801801801794
140,8.86,9.52,8.8,83075,9.1,21847799,9.084365,2018-09-10 04:00:00+00:00,1536580800.0,2,9,2018,9-2,3,-9.367945823927766,6.997742663656877
141,9.35,9.42,8.69,66497,8.9,19516658,9.115142,2018-09-17 04:00:00+00:00,1537185600.0,3,9,2018,9-3,3,-2.352941176470595,15.614973262032095
142,10.03,10.15,9.2,70681,9.5,17018939,9.662181,2018-09-24 04:00:00+00:00,1537790400.0,4,9,2018,9-4,3,-1.2961116650049929,14.418743768693929
143,10.09,10.6462,10.02,77473,10.27,18607455,10.302072,2018-10-01 04:00:00+00:00,1538395200.0,1,10,2018,10-1,4,-20.229930624380575,0.49554013875124586
144,8.76,10.07,8.605,79452,9.95,19411493,9.331673,2018-10-08 04:00:00+00:00,1539000000.0,2,10,2018,10-2,4,-19.121004566210054,2.796803652968028
145,8.5,8.85,8.395,71151,8.77,17072865,8.581279,2018-10-15 04:00:00+00:00,1539604800.0,3,10,2018,10-3,4,-7.2352941176470615,3.294117647058837
146,8.5,8.675,8.235,92996,8.55,23411679,8.481342,2018-10-22 04:00:00+00:00,1540209600.0,4,10,2018,10-4,4,-7.2352941176470615,8.647058823529425
147,8.75,8.97,8.06,122503,8.55,29321241,8.569777,2018-10-29 04:00:00+00:00,1540814400.0,5,10,2018,10-5,4,-4.4571428571428635,13.942857142857129
148,8.94,9.28,8.58,75543,8.86,17882627,9.036742,2018-11-05 05:00:00+00:00,1541422800.0,1,11,2018,11-1,4,-14.429530201342272,5.4809843400447456
149,8.11,9.07,7.99,94459,9.03,24783432,8.372676,2018-11-12 05:00:00+00:00,1542027600.0,2,11,2018,11-2,4,-24.167694204685574,4.74722564734895
150,7.12,8.375,7.11,72329,7.98,20981712,7.704617,2018-11-19 05:00:00+00:00,1542632400.0,3,11,2018,11-3,4,-20.856741573033712,5.337078651685392
151,7.38,7.49,6.89,102579,7.14,27806283,7.123518,2018-11-26 05:00:00+00:00,1543237200.0,4,11,2018,11-4,4,1.1517615176151756,20.79945799457996
152,7.64,8.425,7.575,108381,8.11,24265840,8.031761,2018-12-03 05:00:00+00:00,1543842000.0,1,12,2018,12-1,4,-14.52879581151833,8.049738219895278
153,7.67,8.19,7.315,93544,7.58,18536624,7.744906,2018-12-10 05:00:00+00:00,1544446800.0,2,12,2018,12-2,4,-20.925684485006514,6.323337679269875
154,6.63,7.8,6.585,92847,7.69,22991280,7.050983,2018-12-17 05:00:00+00:00,1545051600.0,3,12,2018,12-3,4,-24.886877828054292,7.315233785822025
155,6.87,7.07,6.15,56995,6.55,16106632,6.733233,2018-12-24 05:00:00+00:00,1545656400.0,4,12,2018,12-4,4,-4.657933042212522,22.78020378457059
156,7.69,7.715,6.75,57943,6.97,13033831,7.278096,2018-12-31 05:00:00+00:00,1546261200.0,5,12,2018,12-5,4,-0.7152145643693071,19.245773732119638
157,8.1,8.23,7.66,70366,7.75,18089650,7.959248,2019-01-07 05:00:00+00:00,1546866000.0,1,1,2019,1-1,1,-5.987654320987659,7.407407407407403
158,8.14,8.26,7.745,65912,7.96,16248944,8.016268,2019-01-14 05:00:00+00:00,1547470800.0,2,1,2019,1-2,1,-9.459459459459453,2.0270270270270276
